Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
8970,30-34,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Burgers_Burger Past 30 1-2
8971,25-29,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,$25000-$34999,White,Chicken_Chicken Past 30 1-2
8972,70+,British Columbia,Female,English,French,High School Graduation Certificate,Not Employed,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
8973,70+,Ontario,Female,English,English,Trade Certificate/Diploma,Not Employed,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
8974,45-49,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
8975,25-29,Ontario,Female,German,English,Elementary School Graduation Cert,Full-Time,Professionals,$25000-$34999,White,Chicken_Chicken Past 30 1-2
8976,70+,Ontario,Female,French,French,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Burgers_Burger Past 30 1-2
8977,22-24,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Unskilled,$40000-$49999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
8978,55-59,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
8979,55-59,Ontario,Male,English,Other,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
8980,25-29,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
8981,70+,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$25000-$34999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
8982,35-39,Ontario,Male,French,English,Trade Certificate/Diploma,Not Employed,Skilled,$25000-$34999,White,Burgers_Burger Past 30 1-2
8983,40-44,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,Under $25000,White,Burgers_Burger Past 30 1-2
8984,45-49,British Columbia,Male,Other,English,High School Graduation Certificate,Full-Time,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
8985,15-17,Ontario,Male,Other,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Burgers_Burger Past 30 1-2
8986,35-39,Ontario,Female,English,Chinese-Cantonese,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$40000-$49999,White,Burgers_Burger Past 30 1-2
8987,20-21,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,$125000-$149999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
8988,30-34,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Burgers_Burger past 30 3-4
8989,70+,Ontario,Female,Indian-Hindi,English,Elementary School Graduation Cert,Not Employed,Other Managers,$60000-$74999,Not Stated,Burgers_Burger Past 30 1-2
8990,55-59,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger past 30 3-4
8991,70+,Alberta,Male,French,French,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
8992,25-29,Alberta,Male,English,English,Bachelors Degrees,Part-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
8993,35-39,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$60000-$74999,White,Popeye (Less) 5+
8994,19 Years,Ontario,Male,French,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
8995,60-64,Saskatchewan,Male,English,Chinese - Mandarin,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Burgers_Burger past 30 3-4
8996,50-54,British Columbia,Male,Other,English,Bachelors Degrees,Not Employed,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
8997,55-59,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$100000-$124999,Not Stated,Chicken_Chicken Past 30 1-2
8998,65-69,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
8999,65-69,Quebec,Male,Portuguese,English,Trade Certificate/Diploma,Full-Time,Unskilled,$125000-$149999,White,Chicken_Chicken past 30 3-4
9000,65-69,Ontario,Female,Indian-Other,English,High School Graduation Certificate,Not Employed,Skilled,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
9001,50-54,Quebec,Male,Portuguese,English,Elementary School Graduation Cert,Not Employed,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
9002,40-44,Ontario,Male,French,English,Trade Certificate/Diploma,Full-Time,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
9003,50-54,Ontario,Male,Italian,English,None,Not Employed,Professionals,$60000-$74999,White,Burgers_Burger Past 30 5+
9004,70+,Ontario,Male,German,English,Bachelors Degrees,Part-Time,Senior Managers/Owners,$40000-$49999,White,Burgers_Burger Past 30 1-2
9005,19 Years,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,Under $25000,White,Chicken_Chicken past 30 3-4
9006,45-49,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Unskilled,Under $25000,White,Burgers_Burger Past 30 1-2
9007,70+,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$100000-$124999,White,Burgers_Burger Past 30 1-2
9008,25-29,British Columbia,Female,German,French,Other Certificate/Diploma Not Univ,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
9009,55-59,Alberta,Female,English,English,Trade Certificate/Diploma,Full-Time,Senior Managers/Owners,$125000-$149999,Arab,Burgers_Burger Past 30 1-2
9010,55-59,British Columbia,Female,Ukrainian,English,High School Graduation Certificate,Part-Time,Other,$75000-$99999,White,Burgers_Burger past 30 3-4
9011,20-21,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Other,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
9012,25-29,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Popeyes 1-2
9013,40-44,British Columbia,Female,French,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$25000-$34999,White,Chicken_Chicken Past 30 1-2
9014,50-54,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,Under $25000,White,Burgers_Burger Past 30 1-2
9015,55-59,Quebec,Female,Spanish,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$200000 Or Over,White,Burgers_Burger Past 30 1-2
9016,25-29,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Skilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
9017,15-17,Alberta,Female,Portuguese,French,High School Graduation Certificate,Not Employed,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
9018,45-49,Ontario,Female,French,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Unskilled,$50000-$59999,Other,Chicken_Chicken Past 30 1-2
9019,35-39,Alberta,Female,French,English,High School Graduation Certificate,Not Employed,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
9020,45-49,Ontario,Female,Indian-Other,French,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$35000-$39999,White,Chicken_Chicken Past 30 1-2
9021,40-44,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Senior Managers/Owners,$75000-$99999,White,Chicken_Chicken Past 30 1-2
9022,70+,Ontario,Female,French,English,Bachelors Degrees,Full-Time,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
9023,30-34,Manitoba,Male,French,English,High School Graduation Certificate,Not Employed,Other,$60000-$74999,White,Chicken_Chicken Past 30 1-2
9024,65-69,Ontario,Male,English,English,None,Full-Time,Senior Managers/Owners,$50000-$59999,White,Burgers_Burger past 30 3-4
9025,70+,Quebec,Female,English,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 5+
9026,35-39,Alberta,Female,French,Indian-Other,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$40000-$49999,White,Burgers_Burger Past 30 1-2
9027,25-29,Ontario,Female,French,English,Trade Certificate/Diploma,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
9028,22-24,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Unskilled,Under $25000,White,Chicken_Chicken Past 30 1-2
9029,55-59,Ontario,Female,English,Arabic,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
9030,55-59,British Columbia,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
9031,45-49,Ontario,Male,Other,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
9032,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
9033,70+,Quebec,Male,Greek,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,Under $25000,Aboriginal,Burgers_Burger Past 30 1-2
9034,65-69,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Unskilled,Under $25000,White,Burgers_Burger Past 30 1-2
9035,60-64,Quebec,Male,Other,English,Bachelors Degrees,Full-Time,Skilled,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9036,70+,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,$100000-$124999,West Asian (Afghan Iranian etc),Chicken_Chicken past 30 3-4
9037,50-54,Quebec,Female,Chinese - Mandarin,English,None,Full-Time,Other,$25000-$34999,Arab,Chicken_Chicken Past 30 1-2
9038,70+,Alberta,Female,Indian-Hindi,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Black,Burgers_Burger Past 30 1-2
9039,40-44,Alberta,Male,English,Arabic,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$60000-$74999,White,Chicken_Chicken Past 30 5+
9040,20-21,Quebec,Male,French,English,High School Graduation Certificate,Part-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
9041,65-69,British Columbia,Female,German,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
9042,22-24,Quebec,Male,English,English,Bachelors Degrees,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
9043,70+,Quebec,Female,French,French,Bachelors Degrees,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 5+
9044,40-44,British Columbia,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
9045,30-34,Ontario,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$125000-$149999,White,Chicken_Chicken past 30 3-4
9046,30-34,Manitoba,Female,English,French,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,Chinese,Burgers_Burger Past 30 1-2
9047,14 Years,Ontario,Female,English,Other,Elementary School Graduation Cert,Full-Time,Other Managers,$40000-$49999,White,Popeyes 3-4
9048,40-44,Ontario,Female,Spanish,French,High School Graduation Certificate,Part-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Black,Popeyes 1-2
9049,40-44,Alberta,Female,Spanish,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Chicken_Chicken Past 30 1-2
9050,15-17,Alberta,Female,English,French,Bachelors Degrees,Full-Time,Skilled,$75000-$99999,White,Chicken_Chicken past 30 3-4
9051,35-39,Ontario,Female,Portuguese,French,High School Graduation Certificate,Not Employed,Other Managers,$25000-$34999,White,Popeye (Less) 3-4
9052,19 Years,Ontario,Female,French,English,Elementary School Graduation Cert,Not Employed,Other Managers,$100000-$124999,White,Burgers_Burger Past 30 1-2
9053,25-29,Saskatchewan,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,$75000-$99999,Not Stated,Chicken_Chicken Past 30 1-2
9054,35-39,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
9055,25-29,Alberta,Female,English,Indian-Punjabi,Elementary School Graduation Cert,Not Employed,Other,$75000-$99999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
9056,70+,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Burgers_Burger Past 30 1-2
9057,50-54,Ontario,Female,English,English,Trade Certificate/Diploma,Not Employed,Professionals,$75000-$99999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
9058,40-44,Prince Edward Island,Male,English,English,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Burgers_Burger Past 30 1-2
9059,45-49,Manitoba,Female,Spanish,French,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$50000-$59999,Filipino,Burgers_Burger Past 30 1-2
9060,70+,Ontario,Female,German,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other,$50000-$59999,Black,Burgers_Burger Past 30 5+
9061,45-49,Ontario,Female,English,French,Elementary School Graduation Cert,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
9062,55-59,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Part-Time,Other,$75000-$99999,Chinese,Chicken_Chicken Past 30 1-2
9063,70+,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$150000-$199999,Black,Chicken_Chicken Past 30 1-2
9064,40-44,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
9065,30-34,Ontario,Male,English,French,High School Graduation Certificate,Full-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
9066,70+,New Brunswick,Male,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other,$75000-$99999,Other,Chicken_Chicken Past 30 1-2
9067,50-54,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Not Stated,Chicken_Chicken past 30 3-4
9068,20-21,Saskatchewan,Female,English,French,Bachelors Degrees,Not Employed,Other Managers,$125000-$149999,White,Burgers_Burger Past 30 1-2
9069,45-49,Manitoba,Female,French,French,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9070,22-24,Saskatchewan,Male,Spanish,English,High School Graduation Certificate,Not Employed,Other,$75000-$99999,Not Stated,Chicken_Chicken Past 30 1-2
9071,40-44,Ontario,Male,French,English,Masters Degrees,Not Employed,Other,$40000-$49999,White,Burgers_Burger Past 30 1-2
9072,22-24,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$60000-$74999,White,Chicken_Chicken Past 30 1-2
9073,35-39,Alberta,Male,English,French,Bachelors Degrees,Full-Time,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
9074,30-34,Alberta,Male,English,English,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,$50000-$59999,White,Chicken_Chicken Past 30 1-2
9075,35-39,Quebec,Female,English,French,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,$75000-$99999,Other,Chicken_Chicken Past 30 1-2
9076,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
9077,45-49,Alberta,Male,English,Tagalog,High School Graduation Certificate,Not Employed,Skilled,$75000-$99999,White,Burgers_Burger Past 30 5+
9078,70+,Quebec,Male,English,French,Masters Degrees,Not Employed,Unskilled,$35000-$39999,White,Burgers_Burger past 30 3-4
9079,55-59,Manitoba,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,Other,Chicken_Chicken past 30 3-4
9080,50-54,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,Under $25000,White,Burgers_Burger Past 30 1-2
9081,60-64,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$75000-$99999,White,Burgers_Burger Past 30 1-2
9082,70+,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Professionals,Under $25000,White,Burgers_Burger past 30 3-4
9083,35-39,Quebec,Male,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Chicken_Chicken Past 30 1-2
9084,70+,Quebec,Female,French,English,Bachelors Degrees,Full-Time,Skilled,$60000-$74999,White,Chicken_Chicken past 30 3-4
9085,35-39,British Columbia,Female,Indian-Other,English,Elementary School Graduation Cert,Not Employed,Other Managers,$60000-$74999,Not Stated,Chicken_Chicken Past 30 1-2
9086,65-69,Quebec,Female,Spanish,Ukrainian,Trade Certificate/Diploma,Full-Time,Skilled,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
9087,50-54,British Columbia,Female,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,$100000-$124999,Other,Chicken_Chicken Past 30 1-2
9088,45-49,Alberta,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$100000-$124999,White,Popeye (Less) 3-4
9089,60-64,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Skilled,$125000-$149999,Other,Burgers_Burger Past 30 1-2
9090,65-69,Ontario,Female,French,English,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Black,Chicken_Chicken Past 30 1-2
9091,35-39,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Unskilled,Under $25000,Chinese,Burgers_Burger Past 30 1-2
9092,15-17,Quebec,Male,French,English,Trade Certificate/Diploma,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
9093,25-29,Nova Scotia,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
9094,30-34,Quebec,Male,French,English,Bachelors Degrees,Full-Time,Other Managers,$125000-$149999,White,Burgers_Burger Past 30 1-2
9095,50-54,Quebec,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Professionals,$75000-$99999,Not Stated,Chicken_Chicken Past 30 1-2
9096,45-49,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9097,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$40000-$49999,White,Chicken_Chicken Past 30 1-2
9098,70+,Ontario,Female,French,Chinese - Mandarin,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 5+
9099,65-69,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$200000 Or Over,Aboriginal,Burgers_Burger Past 30 1-2
9100,25-29,Quebec,Female,French,Other,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$100000-$124999,Other,Chicken_Chicken past 30 3-4
9101,50-54,Quebec,Male,French,French,Elementary School Graduation Cert,Full-Time,Other Managers,$75000-$99999,Not Stated,Burgers_Burger Past 30 1-2
9102,50-54,Ontario,Female,English,English,Trade Certificate/Diploma,Not Employed,Skilled,$25000-$34999,White,Chicken_Chicken Past 30 5+
9103,70+,Alberta,Male,Chinese - Mandarin,English,High School Graduation Certificate,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
9104,50-54,Ontario,Male,Tagalog,English,High School Graduation Certificate,Part-Time,Other,Under $25000,White,Burgers_Burger Past 30 1-2
9105,20-21,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Professionals,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9106,55-59,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Other,$150000-$199999,Not Stated,Burgers_Burger Past 30 5+
9107,18 Years,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
9108,22-24,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Professionals,Under $25000,White,Burgers_Burger Past 30 1-2
9109,70+,Quebec,Male,English,French,Elementary School Graduation Cert,Not Employed,Skilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
9110,30-34,Quebec,Female,French,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$50000-$59999,White,Burgers_Burger Past 30 1-2
9111,40-44,Ontario,Female,Spanish,English,Elementary School Graduation Cert,Full-Time,Other,$50000-$59999,Other,Popeye (Less) 1-2
9112,50-54,British Columbia,Female,English,English,Bachelors Degrees,Full-Time,Skilled,Under $25000,Chinese,Popeyes 1-2
9113,65-69,British Columbia,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$150000-$199999,Black,Chicken_Chicken Past 30 1-2
9114,60-64,Alberta,Male,French,English,High School Graduation Certificate,Full-Time,Skilled,$125000-$149999,White,Chicken_Chicken past 30 3-4
9115,25-29,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,$25000-$34999,White,Chicken_Chicken Past 30 1-2
9116,55-59,British Columbia,Male,Greek,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
9117,40-44,Ontario,Male,French,English,Bachelors Degrees,Full-Time,Unskilled,$25000-$34999,White,Popeye (Less) 1-2
9118,18 Years,Ontario,Female,Tagalog,English,Elementary School Graduation Cert,Full-Time,Other,$60000-$74999,Black,Burgers_Burger Past 30 1-2
9119,65-69,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Skilled,$100000-$124999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
9120,25-29,Ontario,Female,Chinese-Cantonese,French,Trade Certificate/Diploma,Full-Time,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
9121,30-34,Quebec,Female,Indian-Hindi,Other,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Popeyes 3-4
9122,60-64,Ontario,Male,English,French,High School Graduation Certificate,Full-Time,Skilled,$75000-$99999,Not Stated,Burgers_Burger Past 30 1-2
9123,70+,Quebec,Female,French,French,High School Graduation Certificate,Part-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
9124,15-17,Ontario,Male,English,French,Elementary School Graduation Cert,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9125,60-64,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Unskilled,$40000-$49999,White,Chicken_Chicken Past 30 1-2
9126,20-21,British Columbia,Male,English,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,$25000-$34999,Black,Chicken_Chicken Past 30 1-2
9127,60-64,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other,$40000-$49999,Arab,Chicken_Chicken Past 30 1-2
9128,65-69,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
9129,50-54,Quebec,Female,English,Indian-Punjabi,Elementary School Graduation Cert,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
9130,30-34,Ontario,Female,French,Italian,High School Graduation Certificate,Not Employed,Unskilled,$25000-$34999,White,Burgers_Burger Past 30 1-2
9131,50-54,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 1-2
9132,15-17,Nova Scotia,Female,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,Aboriginal,Burgers_Burger Past 30 1-2
9133,25-29,British Columbia,Female,French,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$100000-$124999,Latin/Central and South American,Burgers_Burger Past 30 1-2
9134,70+,Alberta,Female,English,French,Trade Certificate/Diploma,Full-Time,Unskilled,$75000-$99999,White,Chicken_Chicken Past 30 1-2
9135,50-54,Quebec,Female,French,French,High School Graduation Certificate,Part-Time,Unskilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
9136,30-34,Alberta,Female,English,French,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Burgers_Burger Past 30 5+
9137,18 Years,Ontario,Male,French,English,High School Graduation Certificate,Part-Time,Other Managers,$50000-$59999,Black,Burgers_Burger past 30 3-4
9138,35-39,Ontario,Male,French,Other,Other Certificate/Diploma Not Univ,Part-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
9139,35-39,Alberta,Female,English,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$60000-$74999,White,Chicken_Chicken Past 30 5+
9140,65-69,Ontario,Female,French,English,Elementary School Graduation Cert,Not Employed,Other,$100000-$124999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
9141,30-34,Alberta,Female,French,Indian-Hindi,Trade Certificate/Diploma,Part-Time,Professionals,$60000-$74999,Black,Burgers_Burger Past 30 1-2
9142,15-17,Quebec,Male,French,English,Elementary School Graduation Cert,Not Employed,Other,$50000-$59999,White,Popeyes 3-4
9143,25-29,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
9144,18 Years,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$150000-$199999,Black,Burgers_Burger Past 30 1-2
9145,50-54,Ontario,Male,English,English,High School Graduation Certificate,Part-Time,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
9146,40-44,Quebec,Female,French,French,High School Graduation Certificate,Not Employed,Unskilled,$100000-$124999,White,Chicken_Chicken Past 30 5+
9147,40-44,Quebec,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
9148,70+,British Columbia,Male,English,English,Elementary School Graduation Cert,Not Employed,Senior Managers/Owners,$75000-$99999,White,Chicken_Chicken past 30 3-4
9149,45-49,Alberta,Female,English,English,Masters Degrees,Full-Time,Unskilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
9150,60-64,Quebec,Male,French,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
9151,25-29,Ontario,Male,Chinese - Mandarin,English,Elementary School Graduation Cert,Part-Time,Unskilled,$150000-$199999,White,Chicken_Chicken past 30 3-4
9152,70+,Quebec,Male,French,Other,Bachelors Degrees,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
9153,30-34,Newfoundland and Labrador,Female,French,English,Elementary School Graduation Cert,Part-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Burgers_Burger Past 30 1-2
9154,50-54,British Columbia,Female,Arabic,French,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$40000-$49999,White,Burgers_Burger Past 30 1-2
9155,55-59,Quebec,Male,Indian-Hindi,English,Elementary School Graduation Cert,Part-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
9156,25-29,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
