,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
12324,45-49,Quebec,Male,Italian,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$60,000-$74,999","$25,000-$34,999",White
12325,45-49,Quebec,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Senior Managers/Owners,"$75,000-$99,999","$25,000-$34,999",White
12326,70+,Ontario,Male,English,English,Other,"""Masters Degrees""",Other,"$35,000-$39,999","$75,000-$99,999",White
12327,15-17,Nova Scotia,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$50,000-$59,999",Arab
12328,30-34,Alberta,Male,Indian-Other,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","$25,000-$34,999",Black
12329,30-34,Saskatchewan,Male,English,French,Empty Nesters,"""Bachelors Degrees""",Clerical/Secretarial,"$40,000-$49,999","$25,000-$34,999",White
12330,45-49,Manitoba,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$25,000-$34,999","$60,000-$74,999",White
12331,19 Years,Alberta,Male,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$200,000 Or Over",White
12332,30-34,Saskatchewan,Male,French,French,Adult Living Alone,"""Masters Degrees""",Clerical/Secretarial,"Under $25,000","$35,000-$39,999",White
12333,60-64,Alberta,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",White
12334,20-21,Saskatchewan,Male,Other,French,Adult Living Alone,High School Graduation Certificate,Other Managers,"$60,000-$74,999","$40,000-$49,999",White
12335,35-39,British Columbia,Female,English,English,Empty Nesters,High School Graduation Certificate,Professionals,"$60,000-$74,999","$100,000-$124,999","East/South Asian (Cambodian, Indonesian)"
12336,18 Years,Saskatchewan,Female,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$60,000-$74,999",White
12337,18 Years,Nova Scotia,Female,Indian-Other,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Clerical/Secretarial,"$150,000-$199,999","Under $25,000",White
12338,22-24,Alberta,Female,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$25,000-$34,999","$60,000-$74,999",White
12339,70+,Ontario,Male,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$60,000-$74,999","$35,000-$39,999",White
12340,60-64,Alberta,Female,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$50,000-$59,999","$60,000-$74,999",Black
12341,20-21,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$25,000-$34,999","$60,000-$74,999",White
12342,40-44,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
12343,25-29,British Columbia,Male,English,French,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$25,000-$34,999","$25,000-$34,999",Aboriginal
12344,70+,Alberta,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$50,000-$59,999","$100,000-$124,999",White
12345,70+,Quebec,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","$150,000-$199,999",White
12346,30-34,Manitoba,Female,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other,"Under $25,000","$40,000-$49,999",White
12347,60-64,Newfoundland and Labrador,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"$100,000-$124,999","Under $25,000",White
12348,65-69,Nova Scotia,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$200,000 Or Over","Under $25,000",White
12349,55-59,Ontario,Female,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$40,000-$49,999","$40,000-$49,999",White
12350,20-21,Quebec,Female,Indian-Hindi,English,Couple - No Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$40,000-$49,999","$25,000-$34,999",White
12351,35-39,Ontario,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$75,000-$99,999",Other
12352,40-44,Ontario,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$100,000-$124,999","$75,000-$99,999",White
12353,70+,Quebec,Female,Other,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$75,000-$99,999",White
12354,30-34,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$75,000-$99,999","$35,000-$39,999",White
12355,70+,Quebec,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$40,000-$49,999","$60,000-$74,999","South Asian (East Indian, Pakistani)"
12356,35-39,Ontario,Female,Spanish,English,Other,"Other Certificate/Diploma, Not Univ.",Professionals,"Under $25,000","$75,000-$99,999",White
12357,18 Years,Quebec,Female,English,French,Adult Living Alone,High School Graduation Certificate,Other Managers,"$75,000-$99,999","$75,000-$99,999",White
12358,45-49,Manitoba,Male,French,English,Adult Living Alone,"""Bachelors Degrees""",Professionals,"$150,000-$199,999","Under $25,000",White
12359,19 Years,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Clerical/Secretarial,"$40,000-$49,999","$50,000-$59,999",Aboriginal
12360,70+,Ontario,Male,French,English,Empty Nesters,"""Bachelors Degrees""",Other,"$100,000-$124,999","$25,000-$34,999",White
12361,65-69,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"Under $25,000","$60,000-$74,999",White
12362,45-49,Nova Scotia,Female,English,Other,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$25,000-$34,999",White
12363,30-34,Ontario,Female,French,English,Empty Nesters,Trade Certificate/Diploma,Other,"$200,000 Or Over","$100,000-$124,999",White
12364,55-59,Quebec,Male,English,English,Other,High School Graduation Certificate,Unskilled,"$75,000-$99,999","Under $25,000",Not Stated
12365,35-39,Quebec,Female,Portuguese,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other Managers,"Under $25,000","$75,000-$99,999",White
12366,40-44,Ontario,Male,English,English,Adult Sharing Accommodation,"""Bachelors Degrees""",Other,"$125,000-$149,999","$25,000-$34,999",White
12367,60-64,Quebec,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$200,000 Or Over",White
12368,60-64,Quebec,Male,English,English,Couple - No Children Living At Home,"""Masters Degrees""",Unskilled,"$25,000-$34,999","$60,000-$74,999",White
12369,70+,Ontario,Female,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"Under $25,000","$50,000-$59,999",White
12370,55-59,Manitoba,Female,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Professionals,"$50,000-$59,999","Under $25,000",White
12371,25-29,Manitoba,Female,English,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$125,000-$149,999","$35,000-$39,999",White
12372,19 Years,Ontario,Male,Indian-Hindi,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$25,000-$34,999",None,"South Asian (East Indian, Pakistani)"
12373,55-59,Ontario,Male,English,French,Couple With Children Living at Home,Elementary School Graduation Cert,Clerical/Secretarial,"$75,000-$99,999","$100,000-$124,999",White
12374,40-44,Manitoba,Female,Spanish,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
12375,35-39,Saskatchewan,Male,English,English,Adult With Children Living At Home,None,Professionals,"$100,000-$124,999","Under $25,000",White
12376,40-44,Saskatchewan,Female,German,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$75,000-$99,999","$25,000-$34,999",White
12377,60-64,British Columbia,Female,French,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","Under $25,000",White
12378,45-49,Ontario,Male,French,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$60,000-$74,999",White
12379,50-54,Quebec,Female,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Clerical/Secretarial,"$25,000-$34,999","$200,000 Or Over",White
12380,22-24,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","$100,000-$124,999",White
12381,14 Years,British Columbia,Male,French,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$150,000-$199,999","$25,000-$34,999",White
12382,60-64,Ontario,Female,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$25,000-$34,999","Under $25,000",White
12383,30-34,Ontario,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$125,000-$149,999","$50,000-$59,999",White
12384,25-29,Ontario,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999",None,White
12385,65-69,Newfoundland and Labrador,Male,English,Other,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$40,000-$49,999","$60,000-$74,999",White
12386,55-59,Manitoba,Female,English,French,Empty Nesters,High School Graduation Certificate,Other,"$100,000-$124,999","$40,000-$49,999",Chinese
12387,65-69,Ontario,Male,French,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$100,000-$124,999","$75,000-$99,999",Chinese
12388,19 Years,Ontario,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","Under $25,000",Not Stated
12389,30-34,Manitoba,Male,French,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other,"$150,000-$199,999","$40,000-$49,999",White
12390,60-64,Ontario,Male,French,French,Adult Living Alone,High School Graduation Certificate,Other,"$75,000-$99,999","$60,000-$74,999",White
12391,60-64,Ontario,Female,Other,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","Under $25,000",White
12392,55-59,Quebec,Male,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$150,000-$199,999","$25,000-$34,999",Not Stated
12393,35-39,Quebec,Female,English,Other,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Unskilled,"$40,000-$49,999","$150,000-$199,999",Chinese
12394,65-69,Alberta,Female,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Clerical/Secretarial,"$50,000-$59,999","$75,000-$99,999",White
12395,55-59,British Columbia,Female,English,English,Adult Living Alone,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$40,000-$49,999","South Asian (East Indian, Pakistani)"
12396,40-44,Manitoba,Male,French,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Clerical/Secretarial,"$125,000-$149,999","$50,000-$59,999",Japanese
12397,65-69,Quebec,Female,English,English,Adult With Children Living At Home,Elementary School Graduation Cert,Professionals,"$75,000-$99,999","$35,000-$39,999",White
12398,55-59,Ontario,Female,Portuguese,English,Empty Nesters,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000",White
12399,25-29,Ontario,Male,French,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"Under $25,000","Under $25,000",White
12400,45-49,Quebec,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000",White
12401,55-59,Quebec,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$150,000-$199,999","Under $25,000","East/South Asian (Cambodian, Indonesian)"
12402,70+,Ontario,Female,English,English,Couple With Children Living at Home,None,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$75,000-$99,999",White
12403,22-24,Ontario,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Unskilled,"$200,000 Or Over","Under $25,000",White
12404,30-34,Ontario,Female,French,French,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$35,000-$39,999","$60,000-$74,999",Black
12405,50-54,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","$25,000-$34,999",White
12406,60-64,Alberta,Female,French,English,Adult Sharing Accommodation,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$125,000-$149,999",White
12407,50-54,Quebec,Female,Other,English,Adult Sharing Accommodation,Earned Doctorate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$50,000-$59,999","East/South Asian (Cambodian, Indonesian)"
12408,60-64,Manitoba,Male,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Professionals,"$200,000 Or Over","Under $25,000",White
12409,45-49,Alberta,Female,French,Spanish,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$75,000-$99,999","Under $25,000",Aboriginal
12410,30-34,Alberta,Male,English,French,Couple With Children Living at Home,"""Masters Degrees""",Unskilled,"Under $25,000","Under $25,000","South Asian (East Indian, Pakistani)"
12411,22-24,British Columbia,Male,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$50,000-$59,999",White
12412,15-17,Ontario,Female,English,Indian-Punjabi,Adult With Children Living At Home,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"Under $25,000","$75,000-$99,999",White
12413,18 Years,Ontario,Male,English,Chinese - Mandarin,Adult Sharing Accommodation,None,Other,"$75,000-$99,999","$35,000-$39,999",Aboriginal
12414,50-54,Alberta,Male,Italian,Other,Adult Living Alone,"""Bachelors Degrees""",Other,"$100,000-$124,999","$60,000-$74,999",White
12415,50-54,Ontario,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other Managers,"$75,000-$99,999","Under $25,000",White
12416,25-29,Ontario,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Other Managers,"$35,000-$39,999","Under $25,000",White
12417,30-34,Nova Scotia,Male,Indian-Punjabi,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","$60,000-$74,999",Other
12418,55-59,Quebec,Female,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Clerical/Secretarial,"$75,000-$99,999","Under $25,000",White
12419,35-39,British Columbia,Female,French,French,Other,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","$75,000-$99,999",Not Stated
12420,65-69,Nova Scotia,Male,French,English,Adult With Children Living At Home,Elementary School Graduation Cert,Other Managers,"Under $25,000","$75,000-$99,999",Japanese
12421,35-39,British Columbia,Female,Spanish,English,Empty Nesters,Trade Certificate/Diploma,Other,"$60,000-$74,999","$100,000-$124,999",White
12422,25-29,Manitoba,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","$50,000-$59,999",White
12423,55-59,Ontario,Male,English,English,Adult Living Alone,Trade Certificate/Diploma,Other Managers,"$60,000-$74,999","Under $25,000",White
12424,70+,Nova Scotia,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$40,000-$49,999",White
12425,35-39,Ontario,Female,English,English,Couple With Children Living at Home,None,Clerical/Secretarial,"$35,000-$39,999","Under $25,000",White
12426,22-24,Ontario,Male,Spanish,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$200,000 Or Over","$150,000-$199,999",White
12427,25-29,Ontario,Male,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$40,000-$49,999",White
12428,60-64,Ontario,Male,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$100,000-$124,999","Under $25,000","South Asian (East Indian, Pakistani)"
12429,70+,Quebec,Male,English,French,Adult With Children Living At Home,High School Graduation Certificate,Skilled,"$25,000-$34,999","Under $25,000",White
12430,25-29,Quebec,Female,English,French,Empty Nesters,High School Graduation Certificate,Other,"$50,000-$59,999","$35,000-$39,999",Latin/Central and South American
12431,35-39,Quebec,Female,English,French,Empty Nesters,Elementary School Graduation Cert,Other Managers,"$40,000-$49,999","$40,000-$49,999",White
12432,35-39,Ontario,Male,Other,English,Adult Living Alone,"""Bachelors Degrees""",Senior Managers/Owners,"$150,000-$199,999","Under $25,000",Black
12433,55-59,Quebec,Female,Spanish,English,Couple With Children Living at Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$25,000-$34,999",White
12434,45-49,Quebec,Male,Chinese - Mandarin,English,Empty Nesters,Elementary School Graduation Cert,Other,"$75,000-$99,999","$125,000-$149,999",White
12435,45-49,Manitoba,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$100,000-$124,999","$25,000-$34,999",White
12436,35-39,Quebec,Male,Greek,French,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$125,000-$149,999",White
12437,25-29,Alberta,Female,Chinese-Cantonese,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","Under $25,000",White
12438,65-69,Ontario,Female,English,French,Empty Nesters,None,Other,"$200,000 Or Over","$50,000-$59,999",White
12439,45-49,Quebec,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Clerical/Secretarial,"$150,000-$199,999","Under $25,000",White
12440,45-49,Alberta,Male,English,Indian-Punjabi,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$50,000-$59,999","$25,000-$34,999",White
12441,55-59,Quebec,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other Managers,"$40,000-$49,999","$100,000-$124,999",White
12442,25-29,Alberta,Female,English,Other,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$75,000-$99,999","$75,000-$99,999",White
12443,15-17,British Columbia,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$60,000-$74,999","$75,000-$99,999",White
12444,45-49,British Columbia,Female,French,Vietnamese,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","$40,000-$49,999",White
12445,15-17,Quebec,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$60,000-$74,999","$50,000-$59,999",Black
12446,70+,Ontario,Male,English,English,Other,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$25,000-$34,999","$50,000-$59,999",White
12447,40-44,Alberta,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$60,000-$74,999","South Asian (East Indian, Pakistani)"
12448,40-44,British Columbia,Female,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$50,000-$59,999","$100,000-$124,999",White
12449,15-17,Quebec,Male,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$200,000 Or Over","Under $25,000",Aboriginal
12450,25-29,Ontario,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other,"$100,000-$124,999","Under $25,000",Not Stated
12451,70+,Manitoba,Male,French,French,Couple - No Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$60,000-$74,999","$35,000-$39,999",White
12452,35-39,Saskatchewan,Male,French,English,Empty Nesters,High School Graduation Certificate,Other,"Under $25,000","$40,000-$49,999",White
12453,22-24,Ontario,Male,French,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999",None,White
12454,60-64,Ontario,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$150,000-$199,999","Under $25,000",White
12455,70+,Quebec,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Clerical/Secretarial,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
12456,19 Years,Prince Edward Island,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other Managers,"Under $25,000","$50,000-$59,999","South Asian (East Indian, Pakistani)"
12457,35-39,Manitoba,Male,Chinese - Mandarin,French,Other,Univ. Cert./Dipl. Below Bachelor Level,Other,"$125,000-$149,999","$40,000-$49,999",White
12458,40-44,Ontario,Female,English,French,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$60,000-$74,999","$40,000-$49,999",White
12459,70+,British Columbia,Male,Other,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","Under $25,000","South Asian (East Indian, Pakistani)"
12460,35-39,Alberta,Male,English,English,Empty Nesters,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",White
12461,60-64,Nova Scotia,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"$25,000-$34,999","Under $25,000",White
12462,45-49,Alberta,Female,English,Vietnamese,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","$40,000-$49,999",White
12463,65-69,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"Under $25,000","$60,000-$74,999",White
12464,15-17,Ontario,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$75,000-$99,999",White
12465,65-69,Ontario,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$35,000-$39,999","Under $25,000",White
12466,70+,Quebec,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"Under $25,000",None,White
12467,15-17,Quebec,Male,English,English,Other,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","Under $25,000",White
12468,55-59,Ontario,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Unskilled,"$50,000-$59,999","$60,000-$74,999","South Asian (East Indian, Pakistani)"
12469,40-44,British Columbia,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","Under $25,000",White
12470,65-69,Alberta,Male,English,English,Other,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$150,000-$199,999","Under $25,000",White
12471,45-49,Quebec,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000","East/South Asian (Cambodian, Indonesian)"
12472,45-49,Ontario,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$150,000-$199,999","Under $25,000",White
12473,60-64,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Skilled,"$40,000-$49,999","$60,000-$74,999",White
12474,55-59,Quebec,Male,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Unskilled,"$60,000-$74,999","$25,000-$34,999",White
12475,50-54,Ontario,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Skilled,"$60,000-$74,999",None,White
12476,55-59,Alberta,Male,English,French,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
12477,30-34,Ontario,Male,English,Polish,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","$150,000-$199,999",White
12478,50-54,Quebec,Male,English,Other,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"Under $25,000","$25,000-$34,999",White
12479,25-29,Ontario,Female,Portuguese,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$125,000-$149,999","$60,000-$74,999",White
12480,50-54,Ontario,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$200,000 Or Over","Under $25,000",Not Stated
12481,60-64,Quebec,Female,Arabic,French,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$100,000-$124,999","$40,000-$49,999",White
12482,30-34,Quebec,Male,French,English,Adult Living Alone,Elementary School Graduation Cert,Professionals,"$100,000-$124,999","$100,000-$124,999",White
12483,65-69,Manitoba,Male,French,French,Other,"""Masters Degrees""",Other,"$75,000-$99,999","Under $25,000",White
12484,30-34,Ontario,Male,English,English,Adult Living Alone,Trade Certificate/Diploma,Skilled,"$100,000-$124,999","Under $25,000",White
12485,50-54,Ontario,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$25,000-$34,999",Black
12486,55-59,Ontario,Male,English,French,Adult Living Alone,"""Bachelors Degrees""",Other,"$150,000-$199,999","$75,000-$99,999",Not Stated
12487,70+,Alberta,Female,Other,French,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$40,000-$49,999","$75,000-$99,999",White
12488,20-21,Ontario,Female,English,Arabic,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000",White
12489,25-29,British Columbia,Male,English,English,Adult Living Alone,Univ. Cert./Dipl. Above Bachelor Level,Other,"$25,000-$34,999","Under $25,000",Other
12490,35-39,Newfoundland and Labrador,Male,English,English,Adult Living Alone,"""Masters Degrees""",Other,"$75,000-$99,999","$40,000-$49,999",White
12491,25-29,Ontario,Male,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$60,000-$74,999","Under $25,000",White
12492,35-39,British Columbia,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$40,000-$49,999",White
12493,25-29,Ontario,Female,English,French,Empty Nesters,Trade Certificate/Diploma,Other,"$125,000-$149,999","$75,000-$99,999",White
12494,19 Years,Quebec,Male,English,Other,Empty Nesters,None,Other,"Under $25,000","$40,000-$49,999","South Asian (East Indian, Pakistani)"
12495,70+,Manitoba,Male,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$75,000-$99,999","$40,000-$49,999",White
12496,19 Years,Manitoba,Female,English,English,Adult With Children Living At Home,"""Bachelors Degrees""",Other,"$75,000-$99,999","Under $25,000",Black
12497,40-44,Saskatchewan,Male,French,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$125,000-$149,999","$125,000-$149,999",White
12498,30-34,Alberta,Male,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$100,000-$124,999","$60,000-$74,999",White
12499,20-21,Ontario,Male,French,English,Other,Elementary School Graduation Cert,Professionals,"$75,000-$99,999","$60,000-$74,999",White
12500,55-59,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Unskilled,"Under $25,000","$40,000-$49,999",White
12501,55-59,Saskatchewan,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",White
12502,45-49,Ontario,Male,French,English,Adult Living Alone,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","$75,000-$99,999",White
12503,14 Years,Quebec,Male,German,English,Adult With Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$60,000-$74,999",Other
12504,25-29,Ontario,Male,German,English,Adult Sharing Accommodation,"""Masters Degrees""",Other Managers,"$50,000-$59,999","Under $25,000",White
12505,25-29,Ontario,Female,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$125,000-$149,999","$40,000-$49,999",Not Stated
12506,60-64,Alberta,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$50,000-$59,999",None,White
12507,45-49,Alberta,Female,Arabic,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000",White
